time,timezone,latitude,longitude,summary,sunriseTime,sunsetTime,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,daylight,city
2019-11-10 00:00:00,Asia/Kolkata,11.059821,78.387451,Humid and mostly cloudy throughout the day.,2019-11-10 06:12:00,2019-11-10 17:51:00,0.5991,2.4823,2019-11-10 05:35:00,0.89,rain,22.68,2019-11-10 04:48:00,31.38,2019-11-10 14:32:00,23.9,2019-11-10 04:57:00,37.75,2019-11-10 14:41:00,11:39:00,Tamil Nadu
2019-11-10 00:30:00,Asia/Karachi,33.7782,76.5762,,2019-11-10 06:52:00,2019-11-10 17:26:00,0.0013,0.0083,2019-11-10 00:30:00,0.08,snow,-23.02,2019-11-10 05:49:00,-13.13,2019-11-10 13:43:00,-26.58,2019-11-10 21:28:00,-13.22,2019-11-10 14:03:00,10:34:00,Jammu and Kashmir
2019-11-10 00:00:00,Asia/Kolkata,17.874857,78.100815,Partly cloudy throughout the day.,2019-11-10 06:22:00,2019-11-10 17:44:00,0.0022,0.0138,2019-11-10 00:00:00,0.02,rain,18.85,2019-11-10 05:01:00,30.45,2019-11-10 14:23:00,19.44,2019-11-10 05:04:00,31.28,2019-11-10 14:25:00,11:22:00,Telangana
2019-11-12 00:00:00,Asia/Kolkata,23.473324,77.947998,Clear throughout the day.,2019-11-12 06:32:00,2019-11-12 17:36:00,0.0041,0.0096,2019-11-12 08:17:00,0.02,rain,16.59,2019-11-12 03:54:00,29.81,2019-11-12 13:50:00,16.86,2019-11-12 03:54:00,29.53,2019-11-12 13:50:00,11:04:00,Madhya Pradesh
2019-11-11 00:00:00,Asia/Kolkata,15.2993,74.124,Humid throughout the day.,2019-11-11 06:35:00,2019-11-11 18:03:00,0.0187,0.1127,2019-11-11 14:47:00,0.05,rain,22.01,2019-11-11 04:44:00,33.5,2019-11-11 13:17:00,22.89,2019-11-11 04:47:00,36.9,2019-11-11 13:23:00,11:28:00,Goa
2019-11-12 00:00:00,Asia/Kolkata,31.1471,75.3412,Clear throughout the day.,2019-11-12 06:54:00,2019-11-12 17:34:00,0.0033,0.0076,2019-11-12 08:00:00,0.03,rain,13.04,2019-11-12 04:31:00,26.51,2019-11-12 14:45:00,13.31,2019-11-12 04:31:00,26.23,2019-11-12 14:45:00,10:40:00,Punjab
2019-11-11 00:00:00,Asia/Kolkata,17.123184,79.208824,Humid throughout the day.,2019-11-11 06:17:00,2019-11-11 17:40:00,0.0289,0.156,2019-11-11 17:35:00,0.07,rain,19.75,2019-11-11 04:59:00,31.17,2019-11-11 13:29:00,20.37,2019-11-11 05:00:00,33.74,2019-11-11 13:31:00,11:23:00,Telangana
2019-11-11 00:00:00,Asia/Kolkata,27.391277,73.432617,Mostly cloudy throughout the day.,2019-11-11 06:55:00,2019-11-11 17:48:00,0,0,2019-11-11 14:35:00,0,,16.64,2019-11-11 04:28:00,29.01,2019-11-11 13:32:00,16.91,2019-11-11 04:28:00,28.73,2019-11-11 13:32:00,10:53:00,Rajasthan
2019-11-11 00:00:00,Asia/Kolkata,32.084206,77.571167,Overcast throughout the day.,2019-11-11 06:46:00,2019-11-11 17:24:00,0.195,0.7069,2019-11-11 23:00:00,0.27,snow,-13.82,2019-11-11 00:00:00,-6.33,2019-11-11 12:25:00,-18.68,2019-11-11 00:00:00,-10.16,2019-11-11 12:55:00,10:38:00,Himachal Pradesh
2019-11-12 00:30:00,Asia/Karachi,33.7782,76.5762,,2019-11-12 06:54:00,2019-11-12 17:24:00,0.2304,0.4909,2019-11-12 08:07:00,0.39,snow,-18.37,2019-11-12 00:30:00,-10.91,2019-11-12 14:01:00,-19.58,2019-11-12 17:21:00,-14.57,2019-11-12 10:25:00,10:30:00,Jammu and Kashmir
2019-11-12 00:00:00,Asia/Kolkata,15.2993,74.124,Humid and partly cloudy throughout the day.,2019-11-12 06:35:00,2019-11-12 18:03:00,0.0047,0.0121,2019-11-12 20:04:00,0.05,rain,22.85,2019-11-12 04:46:00,34.33,2019-11-12 14:02:00,23.66,2019-11-12 04:50:00,37.19,2019-11-12 14:06:00,11:28:00,Goa
2019-11-12 00:00:00,Asia/Kolkata,23.745127,91.746826,Partly cloudy throughout the day.,2019-11-12 05:37:00,2019-11-12 16:40:00,0.1141,0.6049,2019-11-12 00:40:00,0.34,rain,20,2019-11-12 23:00:00,28.61,2019-11-12 13:25:00,20.84,2019-11-12 23:00:00,32.37,2019-11-12 13:47:00,11:03:00,Tripura
